# Actions by run and type
Type	show	talk	touch	mis	ges	look	play
"1.1"	0.0872016975264	0.378459355042	0.368960486744	0.0	0.189229677521	0.160264971419	0.0	
"1.2"	0.0	0.424558341392	0.328981352094	0.0	0.141519447131	0.0897786955156	0.0	
"1.3"	0.0	0.564768748885	0.741102948272	0.0	0.260057644577	0.338273285098	0.0	
"1.4"	0.0	0.357945393442	0.373028028988	0.0	0.364574846677	0.125944584383	0.0	
"1.5"	0.0	0.298829584129	0.493118788564	0.0	0.0996098613763	0.102021730629	0.0	
"2.1"	0.0	0.424395288828	0.714791377442	0.0	0.228074195489	0.31116388909	0.076963532113	
"2.2"	0.0	0.319308565988	0.231721161057	0.0875874049312	0.217968334547	0.0	0.0	
"2.3"	0.0629108867289	0.401060591222	0.294526055358	0.0563994585652	0.12557472656	0.682378489266	0.0	
"2.4"	0.0	0.139455426559	0.232734851776	0.0697277132796	0.180121226253	0.340669417639	0.0	
"2.5"	0.096968129808	0.373193239435	0.319625464805	0.305371357957	0.0	0.0	0.0	
"2.6"	0.0	0.357172168324	0.236392648189	0.0	0.397298044734	0.0	0.0	
"2.7"	0.0	0.272718834156	0.0	0.0	0.171110794239	0.415253117848	0.0	
"2.8"	0.0	0.160575932344	0.080287966172	0.240863898516	0.0770099599548	0.314595852254	0.080287966172	
"2.9"	0.0	0.866819590516	0.470120756068	0.0	0.480584273146	0.230551979865	0.0	
