# Actions by run and type
Type	show	talk	call	put	rem	touch	mis	ges	exp	look	play
"1.1"	0.0666613487267	0.145561290401	0.474801479928	0.563449451887	0.403254924526	0.274884537948	0.0	0.0727806452004	2.78497024023	0.460740080203	0.0	
"1.2"	0.0308317163811	0.194123386147	0.729652803258	0.573368639148	0.545205442813	0.290820210589	0.0	0.0544305565887	3.13643014915	0.357575261535	0.0	
"1.3"	0.0515201890447	0.268738938616	0.70791133255	0.583716702062	0.583716702062	0.463365442336	0.0	0.11812555216	2.79276175504	0.416029574255	0.0	
"1.4"	0.0416611118518	0.22344199977	0.787191365509	0.575330295913	0.575330295913	0.448575135249	0.0	0.304937336528	3.37502807236	0.410912488058	0.0	
"1.5"	0.0	0.162324226826	0.73953851931	0.58642368091	0.58642368091	0.423495729003	0.0	0.0786543456687	3.3121728551	0.435722983117	0.0	
"2.1"	0.0	0.19811787094	1.10361916767	0.640406706985	0.640406706985	0.473905315926	0.0	0.157498671816	3.80562519596	0.439447370175	0.029601358505	
"2.2"	0.0	0.122810986918	0.701005099356	0.624114559862	0.624114559862	0.214685833835	0.0336874634351	0.17390116619	3.40428553657	0.353813436507	0.0	
"2.3"	0.0241964948957	0.329881577063	1.04686025082	0.358353293194	0.358353293194	0.24050536747	0.0216920994482	0.196083603524	4.59604294971	1.18502940376	0.0	
"2.4"	0.0	0.166658064697	0.864640325805	0.430255541854	0.430255541854	0.205279627562	0.0268183512614	0.277918446916	4.16592853886	0.387521771275	0.0	
"2.5"	0.0372954345415	0.400779416989	0.760501991002	0.641339422571	0.641339422571	0.426845268815	0.117450522291	0.294471417495	3.19246002569	0.491494803026	0.0	
"2.6"	0.0	0.304934192747	0.896205264332	0.589737500312	0.589737500312	0.235388996973	0.0236325237093	0.244917803092	2.77078236385	0.214057859857	0.0	
"2.7"	0.0	0.277478819115	0.91929432263	0.461792603953	0.461792603953	0.217698209251	0.0	0.224397621657	3.60082711703	0.652806066235	0.0	
"2.8"	0.0631872269127	0.271675335024	0.953980367006	0.479265548725	0.479265548725	0.18462554959	0.0926399609677	0.170176978806	3.37369498015	0.447823978403	0.0308799869892	
"2.9"	0.0579967908442	0.396628724547	0.886430384457	0.723225227037	0.723225227037	0.449498774315	0.0	0.544531724883	3.5747208629	0.717480157637	0.0	
